claim_id,customer_id,incident_date,claim_amount,claim_status,claim_type
60000,13344,2018-06-29 14:16:11,9049,Approved,Natural Disaster
60001,26097,2018-07-10 16:45:08,9038,Under Review,Other
60002,15158,2024-06-21 07:24:09,8246,Rejected,Accident
60003,18877,2021-09-12 02:11:25,8525,Under Review,Theft
60004,17742,2020-07-04 03:19:17,8687,Approved,Natural Disaster
60005,16972,2023-04-08 00:31:45,6448,Under Review,Theft
60006,12046,2019-01-10 01:20:03,8428,Rejected,Natural Disaster
60007,24112,2018-03-17 13:25:52,6375,Rejected,Accident
60008,25548,2017-05-09 05:56:55,11910,Rejected,Theft
60009,15742,2018-06-18 20:45:11,4832,Rejected,Theft
60010,12484,2021-11-14 22:49:08,7406,Rejected,Accident
60011,28419,2018-11-27 06:14:52,7420,Approved,Other
60012,14588,2022-03-16 05:02:38,11216,Rejected,Theft
60013,21096,2022-07-15 21:44:28,2309,Under Review,Theft
60014,22978,2020-03-18 00:08:36,9076,Rejected,Accident
60015,20813,2021-03-24 02:54:48,10216,Rejected,Accident
60016,19898,2022-04-01 18:40:05,-1585,Under Review,Theft
60017,27454,2017-06-15 17:16:26,8847,Under Review,Accident
60018,21225,2018-09-07 18:55:27,5823,Rejected,Other
60019,18537,2018-06-03 03:21:20,-1075,Rejected,Natural Disaster
60020,10262,2021-01-07 03:28:39,9164,Approved,Theft
60021,22499,2021-10-07 07:21:46,5111,Rejected,Accident
60022,24604,2020-10-14 16:34:28,7108,Under Review,Theft
60023,24185,2024-03-17 04:25:55,8140,Approved,Other
60024,19977,2019-06-24 19:04:51,12305,Rejected,Accident
60025,20754,2019-07-14 03:30:41,4156,Rejected,Other
60026,28297,2019-05-22 06:32:21,11566,Approved,Accident
60027,17559,2017-03-26 03:42:27,8391,Rejected,Natural Disaster
60028,28993,2019-05-21 10:13:32,1829,Approved,Other
60029,28523,2022-11-17 08:06:26,6377,Approved,Accident
60030,23314,2020-05-29 16:01:31,5506,Rejected,Natural Disaster
60031,12155,2023-07-27 00:14:58,6854,Rejected,Theft
60032,16252,2020-07-19 15:45:50,10095,Under Review,Natural Disaster
60033,21302,2021-09-25 23:44:31,5314,Under Review,Accident
60034,15415,2018-10-22 23:50:44,4681,Rejected,Natural Disaster
60035,10989,2019-10-20 20:25:13,7391,Rejected,Natural Disaster
60036,15095,2018-12-03 00:30:00,12958,Under Review,Theft
60037,22540,2024-09-25 01:07:55,9093,Approved,Theft
60038,19873,2018-12-13 02:59:10,7233,Under Review,Accident
60039,12729,2019-09-14 00:32:22,5715,Rejected,Natural Disaster
