customer_id,loan_amount,credit_score,late_payments,default_history,risk_score,risk_level
25786,17077,659,0,1,59,Medium
11913,21854,364,0,0,93,High
24388,14773,626,1,0,18,Low
28320,15323,580,0,0,8,Low
24417,14022,532,2,0,71,Medium
23485,21234,372,1,0,96,High
11868,17968,682,2,0,65,Medium
28472,23872,744,1,0,73,Medium
20546,14228,785,4,0,70,Medium
20034,10239,782,6,0,10,Low
13098,18428,761,2,0,55,Medium
20800,16496,660,3,0,72,Medium
17439,11907,687,2,0,26,Low
15425,8988,794,1,0,63,Medium
15006,16934,620,4,0,78,Medium
19653,3932,808,3,0,83,High
19725,13535,713,4,0,7,Low
29153,20088,782,2,0,49,Low
21467,15109,301,4,0,13,Low
15353,9106,561,3,0,22,Low
13623,14498,771,2,0,52,Medium
12293,13510,592,1,0,56,Medium
19745,28698,481,3,0,60,Medium
15017,26026,641,3,0,40,Low
10501,17472,667,1,0,98,High
10913,17623,808,1,1,69,Medium
21008,10090,685,2,0,14,Low
21207,9636,845,0,0,28,Low
29062,14753,532,1,0,20,Low
21228,16095,783,1,0,71,Medium
13970,17003,433,2,1,17,Low
21527,10439,614,2,1,22,Low
19467,17877,339,3,0,34,Low
15730,7862,827,1,0,24,Low
13601,12887,821,0,0,40,Low
19817,17079,637,1,0,29,Low
19752,4169,457,4,0,86,High
21537,10524,367,3,0,36,Low
21287,14661,815,0,0,9,Low
29524,14478,619,1,0,22,Low
26201,9328,399,1,0,59,Medium
10010,9050,324,0,1,13,Low
17179,16541,826,1,0,77,Medium
13657,7309,757,3,0,28,Low
12955,12070,375,1,0,16,Low
12794,16798,470,2,0,8,Low
21354,13693,734,1,0,49,Low
12527,13977,761,4,0,95,High
23316,18837,482,2,0,87,High
18214,10196,686,4,0,54,Medium
21447,11204,437,0,0,39,Low
28989,15156,323,2,0,4,Low
22873,11486,674,1,0,17,Low
14096,13825,548,3,0,64,Medium
29235,10793,365,3,0,57,Medium
11085,12324,797,1,1,4,Low
24658,18438,724,3,0,82,High
16891,11545,496,3,0,62,Medium
10423,18532,349,4,0,84,High
26117,19308,499,2,0,4,Low
29692,9566,435,2,0,59,Medium
17278,19013,695,3,0,96,High
23997,7203,778,0,0,16,Low
12456,3435,373,3,0,50,Low
25141,20751,453,0,0,13,Low
28101,15562,693,3,0,59,Medium
18668,13848,348,2,0,26,Low
11617,16576,783,0,0,14,Low
27867,9336,698,2,0,63,Medium
28598,13905,341,6,0,74,Medium
11691,19608,545,4,0,25,Low
13837,24474,576,3,0,89,High
25924,15319,326,2,0,85,High
11845,20931,379,3,0,48,Low
18287,11559,362,0,1,23,Low
14371,20316,478,3,1,7,Low
22224,14628,823,1,0,31,Low
19419,15157,707,2,0,70,Medium
13861,14110,470,1,0,79,Medium
18331,9154,374,0,0,96,High
15306,10013,659,3,0,73,Medium
12910,16330,582,3,0,40,Low
19445,10219,670,2,0,95,High
27381,17677,825,1,0,67,Medium
18539,8297,804,3,0,21,Low
23256,9606,611,4,0,58,Medium
24933,16740,301,1,0,78,Medium
18515,18456,624,2,0,53,Medium
23300,22706,829,5,0,4,Low
15239,12894,660,1,0,9,Low
16444,19469,659,1,0,60,Medium
16100,13122,620,1,0,76,Medium
23127,23731,748,0,0,52,Medium
24600,10107,753,3,0,84,High
13424,14183,742,0,0,71,Medium
14794,10566,342,6,0,81,High
28910,18659,538,3,0,67,Medium
24141,18326,684,2,0,92,High
18592,22855,394,1,0,46,Low
21426,22345,683,1,0,55,Medium
20069,14212,591,3,0,63,Medium
10313,9919,363,3,0,50,Low
17614,23871,524,1,0,58,Medium
29828,18680,629,2,0,66,Medium
10626,16365,454,1,0,34,Low
28478,12076,428,1,0,88,High
20569,11049,328,2,0,89,High
22407,16214,753,3,0,11,Low
24648,18048,587,4,0,30,Low
19862,20506,707,0,0,68,Medium
26485,21917,443,1,0,22,Low
24541,16114,581,0,0,71,Medium
21537,13257,812,0,0,31,Low
19553,25037,839,4,0,61,Medium
18965,15130,332,1,1,70,Medium
12858,7044,529,1,0,80,Medium
23272,11778,733,2,0,0,Low
21960,8551,438,2,0,54,Medium
17208,14952,555,3,0,74,Medium
23899,26070,399,3,0,83,High
11117,19510,634,4,0,96,High
10018,19465,309,1,0,92,High
25892,17082,629,1,0,65,Medium
22194,24039,348,3,0,24,Low
29014,20128,712,1,0,45,Low
18018,19352,414,2,0,18,Low
13045,14023,610,5,0,39,Low
23849,5736,376,2,0,23,Low
22968,5243,760,1,0,60,Medium
28827,10685,445,4,0,45,Low
21429,26512,493,1,0,8,Low
17249,10250,380,0,1,22,Low
21855,20346,619,1,0,35,Low
27830,16955,786,1,0,76,Medium
13120,19323,506,6,0,68,Medium
16225,16829,428,3,0,54,Medium
25396,8678,752,2,0,15,Low
11881,21603,692,1,0,85,High
23536,21943,443,3,0,24,Low
28138,18967,796,4,0,69,Medium
11316,19263,697,2,0,27,Low
26597,17261,650,5,0,71,Medium
11298,13627,611,1,0,76,Medium
27868,18377,545,0,0,67,Medium
13236,16139,672,0,0,60,Medium
14663,11931,411,2,0,18,Low
